Material,Material Description,Sales department Email,Technical Department Email,Unnamed: 4,SourceFile,RFP_Title,RFP_End_Date,TDS_file_path,RowNumber,ColumnName,ExtractedMaterial,Name,Currency,* Manufacturer Part Number,Material Code,* Country of Origin,Comment,Monthly Delivery Quantity,MatchMethod,Reason for not bidding,* Manufacturer Name,Material PO Text,* Delivery time (in Days),Production Capacity Per Month
908202055,"SHACKLE,ANCHOR,FSTL,16MM DIA,45KN MIN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905752890/RFQ - C001738317/TDS-files,42,Name,905752890,"360   905752890          GRIP,CABLE/WIRE,FSTL,#162...",SAR,,"905752890 360   905752890          GRIP,CABLE/WIRE,FSTL,#162830",,,,,,,,,
908202055,"SHACKLE,ANCHOR,FSTL,16MM DIA,45KN MIN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905752890/RFQ - C001738317/TDS-files,43,Name,905752890,"370   905752890          GRIP,CABLE/WIRE,FSTL,#162...",SAR,,"905752890 370   905752890          GRIP,CABLE/WIRE,FSTL,#162830",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905832561/RFQ - C001738317/TDS-files,45,Name,905832561,"390   905832561          GRIP,CABLE/WIRE,ACAR,4/0,...",SAR,,"905832561 390   905832561          GRIP,CABLE/WIRE,ACAR,4/0,#165640165640HS",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905832561/RFQ - C001738317/TDS-files,46,Name,905832561,"400   905832561          GRIP,CABLE/WIRE,ACAR,4/0,...",SAR,,"905832561 400   905832561          GRIP,CABLE/WIRE,ACAR,4/0,#165640165640HS",,,,,,,,,
908101103,"TOOL,COVER INSTALL,HAND,#MVLC-02",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905902004/RFQ - C001738317/TDS-files,51,Name,905902004,"450   905902004          KIT,TOOL,MASTER ELECTRICI...",SAR,,"905902004 450   905902004          KIT,TOOL,MASTER ELECTRICIAN,HANDLE,NUT D",,,,,,,,,
908202002,"BAND,STRAPPING,SSTL,20MM WD X 0.70MM TH",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP- C001733670.xls,SEC RFP- C001733670,02/17/2026 02:15 AM,RFP-logs/ALLRFPs/905901562/SEC RFP- C001733670/TDS-files,9,Name,905901562,"30    905901562          WIRE:THERMOCOUPLE,17.4 MM...",SAR,,"905901562 30    905901562          WIRE:THERMOCOUPLE,17.4 MM DIA,10 M LG,SS",,,,,,,,,
909501538,,,,,SEC RFP- C001736630.xls,SEC RFP- C001736630,02/16/2026 02:15 AM,RFP-logs/ALLRFPs/909501538/SEC RFP- C001736630/TDS-files,7,Name,909501538,10    909501538          CNDCTR:ELEC,SAR,,909501538 10    909501538          CNDCTR:ELEC,,,,keyword,,,,,
905902283,"CABLE, PWR, 600V/1KV, CU, 1C, 35MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,908111001.0,SEC RFP- C001738316 - 6001738316.xls,SEC RFP- C001738316 - 6001738316,02/25/2026 02:15 AM,RFP-logs/ALLRFPs/909100751/SEC RFP- C001738316 - 6001738316/TDS-files,7,Name,909100751,"10    909100751          CABLE,ELEC,CU,PVC,70,1",,19940107.0,,,,,,,Bahra Electric,";Material PO text:
CABLE,ELECTRICAL:
CONDUCTOR MATERIAL:
CU;
CONDUCTOR SIZE:
70 SQMM;
NO. OF CONDUCTOR:
1C;
VOLTAGE:
0.6/1 KV;
INSULATION MATERIAL:
PVC;
INSULATION COLOR:
YELLOW, GREEN;
INSULATION SHIELD:
SEMICONDUCTING COATING;
METALLIC SHIELD:
NA;
METALLIC SHEATH:
NA;
BEDDING:
NA;
ARMOR:
NA;
JACKET MATERIAL:
PVC;
JACKET COLOR:
YELLOW, GREEN;
STANDARD/SPECIFICATION:
11-TMSS-10 REV. 02/IEC 60502-1;
ADDITIONAL DATA:
FLEXIBLE EARTH COPPER CABLE, 1X70MM2, P
VC, GREEN YELLOW
PLEASE VISIT THE E-BIDDING PORTAL FOR
MORE SPECIFICS REGARDING THE
BARCODE/LABEL FORMAT AND TECHNICAL
ASPECTS OF THE GS1 DATA MATRIX BARCODE.",60.0,
908202062,"CONNECTOR,SLV,120SQMM ACSR/AW,AL,45KN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP- C001738316 - 6001738316.xls,SEC RFP- C001738316 - 6001738316,02/25/2026 02:15 AM,RFP-logs/ALLRFPs/905517950/SEC RFP- C001738316 - 6001738316/TDS-files,8,Name,905517950,"20    905517950          CABLE,ELEC,CU,PVC,120SQMM...",,12168240.0,,,,,,,Bahra Electric,";Material PO text:
CABLE,ELECTRICAL:
CONDUCTOR MATERIAL:
CU;
CONDUCTOR SIZE:
120 SQMM;
NO. OF CONDUCTOR:
1C;
VOLTAGE:
650 V;
INSULATION MATERIAL:
PVC;
INSULATION COLOR:
YELLOW, GREEN;
STANDARD/SPECIFICATION:
IEC 60228;
ADDITIONAL DATA:
INSULATED COPPER EARTHING CONDUCTOR 120
SQ. MM:  NO. OF CONDUCTOR:1, INSULATION
MATERIAL:PVC, INSULATION COLOR:(YELLOW
GREEN).
PLEASE VISIT THE E-BIDDING PORTAL FOR
MORE SPECIFICS REGARDING THE
BARCODE/LABEL FORMAT AND TECHNICAL
ASPECTS OF THE GS1 DATA MATRIX BARCODE.",60.0,
908111010,"CABLE, CNTRL, 750V, CU, 12CORE, 2.5SQMM, PVC",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP- C001738316 - 6001738316.xls,SEC RFP- C001738316 - 6001738316,02/25/2026 02:15 AM,RFP-logs/ALLRFPs/905517918/SEC RFP- C001738316 - 6001738316/TDS-files,9,Name,905517918,"30    905517918          CABLE,ELEC,CU,PVC,240SQMM...",,12168270.0,,,,,,,Bahra Electric,";Material PO text:
CABLE,ELECTRICAL:
CONDUCTOR MATERIAL:
CU;
CONDUCTOR SIZE:
240 SQMM;
NO. OF CONDUCTOR:
1C;
VOLTAGE:
650 V;
INSULATION MATERIAL:
PVC;
INSULATION COLOR:
YELLOW, GREEN;
STANDARD/SPECIFICATION:
IEC 60228;
ADDITIONAL DATA:
INSULATED COPPER EARTHING CONDUCTOR 240
SQ. MM:  NO. OF CONDUCTOR:1, INSULATION
MATERIAL:PVC, INSULATION COLOR:(YELLOW
GREEN).
PLEASE VISIT THE E-BIDDING PORTAL FOR
MORE SPECIFICS REGARDING THE
BARCODE/LABEL FORMAT AND TECHNICAL
ASPECTS OF THE GS1 DATA MATRIX BARCODE.",60.0,
908111010,"CABLE, CNTRL, 750V, CU, 12CORE, 2.5SQMM, PVC",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP- C001738316 - 6001738316.xls,SEC RFP- C001738316 - 6001738316,02/25/2026 02:15 AM,RFP-logs/ALLRFPs/909100745/SEC RFP- C001738316 - 6001738316/TDS-files,10,Name,909100745,"40    909100745          CABLE,ELEC,CU,PVC,50,1",,12168210.0,,,,,,,Bahra Electric,";Material PO text:
CABLE,ELECTRICAL:
CONDUCTOR MATERIAL:
CU;
CONDUCTOR SIZE:
50;
NO. OF CONDUCTOR:
1C;
VOLTAGE:
1.65 KV;
INSULATION MATERIAL:
PVC;
ADDITIONAL DATA:
FLEXIBLE EARTH COPPER CABLE, 1X50MM2, P
VC,
PLEASE VISIT THE E-BIDDING PORTAL FOR
MORE SPECIFICS REGARDING THE
BARCODE/LABEL FORMAT AND TECHNICAL
ASPECTS OF THE GS1 DATA MATRIX BARCODE.",60.0,
905902283,"CABLE, PWR, 600V/1KV, CU, 1C, 35MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,908111001.0,SEC RFP- C001738316 - 6001738316.xls,SEC RFP- C001738316 - 6001738316,02/25/2026 02:15 AM,RFP-logs/ALLRFPs/905696053/SEC RFP- C001738316 - 6001738316/TDS-files,11,Name,905696053,"50    905696053          CABLE,ELEC,CU,XLPE,240SQM...",,19905517.0,,,,,,,Bahra Electric,";Material PO text:
CABLE,ELECTRICAL:
CONDUCTOR MATERIAL:
CU;
CONDUCTOR SIZE:
240 SQMM;
NO. OF CONDUCTOR:
1C;
VOLTAGE:
0.6/1 KV;
INSULATION MATERIAL:
XLPE;
JACKET MATERIAL:
PVC;
ADDITIONAL DATA:
ITEM ADDITIONAL DESCRIPTION:  FLEXIBLE;
SAUDI CABLE COMPANY LIMITED:
CU/XLPE/PVC 600/1000V
* FOR THIS ITEM YOU ARE REQUIRED TO
AFFIX SEC SPECIFIED BARCODE/LABEL WITH
GS1 DATA MATRIX AND HUMAN READABLE
INFORMATION. SEC WILL NOT ACCEPT
UNLABELED GOODS. * THE BARCODE/LABEL
SHOULD INCLUDE GS1 DATA MATRIX BARCODE,
MATERIAL NO, PURCHASE ORDER NO, VENDOR
NO, EXPIRY DATE (IF APPLICABLE). * THE
GS1 DATA MATRIX BARCODE SHOULD BE
PRINTED ALONG WITH THE MANUFACTURER
INFORMATION ON THE RIVETED METAL PLATE
AS APPLICABLE AND THE BARCODE/LABEL
SHOULD BE AFFIXED ON EACH PACKAGING.
PLEASE VISIT THE E-BIDDING PORTAL FOR
MORE SPECIFICS REGARDING THE
BARCODE/LABEL FORMAT AND TECHNICAL
ASPECTS OF THE GS1 DATA MATRIX BARCODE.",60.0,
900462028,,,,,SEC RFP-C001718279.xls,SEC RFP-C001718279,02/17/2026 02:15 AM,RFP-logs/ALLRFPs/900462028/SEC RFP-C001718279/TDS-files,9,Name,900462028,"30    900462028          CONNECTOR,NON-ELECTRICAL:...",SAR,,"900462028 30    900462028          CONNECTOR,NON-ELECTRICAL:HYDRAULIC OIL S",,,,keyword,,,,,
900462029,,,,,SEC RFP-C001718279.xls,SEC RFP-C001718279,02/17/2026 02:15 AM,RFP-logs/ALLRFPs/900462029/SEC RFP-C001718279/TDS-files,10,Name,900462029,"40    900462029          CONNECTOR,NON-ELECTRICAL:...",SAR,,"900462029 40    900462029          CONNECTOR,NON-ELECTRICAL:OIL,STAINLESS S",,,,keyword,,,,,
902504517,,,,,SEC RFP-C001733694.xls,SEC RFP-C001733694,02/18/2026 02:15 AM,RFP-logs/ALLRFPs/902504517/SEC RFP-C001733694/TDS-files,7,Name,902504517,"10    902504517          WIRE:THERMOCOUPLE,6 MM DI...",SAR,,"902504517 10    902504517          WIRE:THERMOCOUPLE,6 MM DIA,12 M LG,1 PAI",,,,keyword,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP-C001734554.xls,SEC RFP-C001734554,02/17/2026 02:15 AM,RFP-logs/ALLRFPs/901331065/SEC RFP-C001734554/TDS-files,24,Name,901331065,"180   901331065          DISC,GUIDE VANE RING,GAS ...",SAR,,"901331065 180   901331065          DISC,GUIDE VANE RING,GAS TURBINE,24 MM,C",,,,,,,,,
908121037,"CONN,ELEC,EL,DB",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP-C001734554.xls,SEC RFP-C001734554,02/17/2026 02:15 AM,RFP-logs/ALLRFPs/901403349/SEC RFP-C001734554/TDS-files,36,Name,901403349,"300   901403349          FLOWMETER:FLUID FLOW,ELEC...",SAR,,"901403349 300   901403349          FLOWMETER:FLUID FLOW,ELECTROMAGNETIC,FUE",,,,,,,,,
908111007,"CABLE, PWR, 600V/1KV, AL, 4C, 300MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP-C001738255.xls,SEC RFP-C001738255,02/18/2026 02:15 AM,RFP-logs/ALLRFPs/903300945/SEC RFP-C001738255/TDS-files,7,Name,903300945,"10    903300945          CONDUCTOR:ELECTRICAL,COPP...",SAR,,"903300945 10    903300945          CONDUCTOR:ELECTRICAL,COPPER CLAD STEEL,7",,a framework agreement 2 years,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP-C001738938.xls,SEC RFP-C001738938,02/16/2026 02:15 AM,RFP-logs/ALLRFPs/905720947/SEC RFP-C001738938/TDS-files,8,Name,905720947,"20    905720947          BLOCK,ROPE,6 IN SHEAVE DI...",SAR,,"905720947 20    905720947          BLOCK,ROPE,6 IN SHEAVE DIAMETER,12 TON,S",,,,,,,,,
908567019,"TFMR,UNIT SUB,1 MVA, AL,13.8KV,231/133V, DUAL,3000 A,(12) CIRCUITS,(10) 400A MCCBS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,SEC RFP-C001738938.xls,SEC RFP-C001738938,02/16/2026 02:15 AM,RFP-logs/ALLRFPs/905721535/SEC RFP-C001738938/TDS-files,10,Name,905721535,"40    905721535          TAPE,ELEC,VINYL PLASTIC,6...",SAR,,"905721535 40    905721535          TAPE,ELEC,VINYL PLASTIC,600V,#SCOTCH35GR",,,,,,,,,
906010621,,,,,SEC RFP-C001738938.xls,SEC RFP-C001738938,02/16/2026 02:15 AM,RFP-logs/ALLRFPs/906010621/SEC RFP-C001738938/TDS-files,11,Name,906010621,"50    906010621          GRIP,CABLE/WIRE,GALV FSTL...",SAR,,"906010621 50    906010621          GRIP,CABLE/WIRE,GALV FSTL,#162816",,,,keyword,,,,,
