Material,Material Description,Sales department Email,Technical Department Email,
908113004,"CABLE, PWR, 15KV, AL, 3C, 70/16MM2, XPLE, ARM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908113005,"CABLE, PWR, 15KV, CU, 1C, 50/16MM2, XLPLE, UARM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908113006,"CABLE, PWR, 36KV, CU, 1C, 500/35MM2, XPLE, UARM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908113009,"CABLE, PWR, 36KV, CU, 1C, 50/16MM2, XPLE, UARM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908114004,"CABLE,PWR,15KV,AL,3C,500/35MM2,XPLE,ARM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908114005,"CABLE, 3 x 400/35, 3-Core, Aluminum, Unarmored, XLPE/LLDPE, 36kV",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908121004,"JOINT KIT,STR,15KV,3X185/35MM2,CU,UAR",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908121010,"TERMINATION KIT, STR, 1KV, 4X300MM2, AL",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908121115,"TERM KIT,STR,PM,36KV,50/16MM2,CU,O/D",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908121150,"JOINT KIT,STR,PM.15KV,3X500/35MM2,AL,ARM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908121151,"TERM KIT,STR,PM,15KV,3X500/35MM2,AL,OTDR",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908122002,"CONNECTOR, LUG, 35MM2 CU, (1)M10, BLT HL",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908122006,"CONNECTOR, LUG, 630MM2 CU, (4)M10 BLT HL",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
901212633,"CONNECTOR, LUG, 300MM2 AL, (1)M12 BLT HL",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908151002,"INSULATOR, POST, PORC, 13.8KV, 152MM DIA, CRP DIST 552MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908151003,"INSULATOR, POST, PORC, 35KV, 185MM DIA, CRP DIST 1320MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908151004,"INSULATOR, POST, PORC, 35 KV, 178MM DIA, CRP DIST 825MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908151005,"INSULATOR, SUSP, PORC, 254MM, 70KN, 146MMSPC, CRP DIST 292MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908152001,"INSULATOR:POST,LINE VERTICAL MOUNTING,13.8 KV,FRP/SILICONE RUBBER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908152002,"INSULATOR:POST,LINE VERTICAL MOUNTING,33 KV,FRP/SILICONE RUBBER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908152003,"INSULATOR,SUSPENSION:ROD,13.8 KV,FRP/SILICONE RUBBER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908152004,"INSULATOR,SUSPENSION:ROD,33 KV,FRP/SILICONE RUBBER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908152005,"SPACER,CNDTR,13.8KV,552MMX10MMDIA,CLAMP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908152007,"SPACER,CNDTR,33KV,1320MMX10MMDIA,CLAMP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201001,"POLE, STL, DIST, LV, 10MLG, TPROCT, OC10",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201003,"POLE, STL, DIST, MV, 13MLG, TPROCT, OC13S",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201004,"POLE, STL, DIST, MV, 14MLG, TPROCT, OC14S",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201005,"POLE, STL, DIST, MV, 14MLG, TPROCT, OC14D",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201006,"POLE, STL, DIST, MV, 15MLG, TPROCT, OC15SD",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201007,"POLE, STL, DIST, LV, 10MLG, TPROCT, OC10SFS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201009,"POLE, STL, DIST, MV, 13MLG, TPROCT, OC13SFS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201010,"POLE, STL, DIST, MV, 14MLG, TPROCT, OC14SFS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201011,"POLE, STL, DIST, MV, 15MLG, TPROCT, OC15SFS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201012,"POLE,SP,PWR,DIST,OC23S/D,STL,23M LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201013,"POLE,SP,PWR,DIST,OC29S/D,STL,29M LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908201014,"POLE,SP,PWR,DIST,OC18S/D,STL,18M LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202002,"BAND,STRAPPING,SSTL,20MM WD X 0.70MM TH",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202012,"BOLT,MACH,GS,20MM DIA,60MM LG,HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202015,"BOLT,MACH,GS,20MM DIA,265MM LG,HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202019,"BOLT,MACH,GS,20MM DIA,310MM LG,HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202023,"BOLT,MACH,GS,20MM DIA,365MM LG,HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202024,"BOLT,MACH,GS,20MM DIA,380MM LG,HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202025,"BOLT,MACH,GS,20MM DIA,400MM LG,HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202026,"BRACKET,PHASE PLATE MTG,GS,40X20X30MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202027,"BUCKLE,STRAP,CRIMP,SSTL,20MM WD",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202032,"BAND,POLE,100WDX12TH,106MMDIA A/F,HDGS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202033,"SLEEVE,STRAPPING BAND,PVC,24X4.6MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202036,"NUT,EYE,GS,16MM BLT SZ,40MMWD X 50MM LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202037,"NUT,EYE,GS,20MM BLT SZ,40MM WD X 50MM LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202042,"PLATE,DA,GS,100X700X12MM, 22MM DIA HOLE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202044,"PLATE,EARTHWIRE SPRT,GS,64MM WDX40MM DP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202045,"PLATE,PHASE,AL,80MM DIA X 1.5MM TH",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202051,"ROD,ARMOR,AA,67.44SQMM ACSR/AW,4.24MMDIA",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202052,"ROD,ARMOR,CONDUCTOR,125.1 SQ MM (4/0) (PENGUIN),AL ALLOY",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202053,"ROD,GRD,CUWLD STL,16MM DIA,1200MM LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202054,"ROD,GRD,CUWLD STL,16MM DIA,2400MM LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202055,"SHACKLE,ANCHOR,FSTL,16MM DIA,45KN MIN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202057,"SLEEVE,REPAIR,67.4SQMMACSR/AW,AL,255MMLG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202061,"CONNECTOR,SLV,67.4 SQMM/AW,AL,36KN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202062,"CONNECTOR,SLV,120SQMM ACSR/AW,AL,45KN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202063,"CONNECTOR,SLV,170.5SQMM ACSR/AW,AL,45KN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202064,"CONNECTOR,SLV,120SQMM AL, AL W/NYL JKT",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202067,"SUPPORT,WIRE SUSP,GS,L-120X120X10X150MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202069,"THIMBLE,GUY,GS,50X22X80X3MM,8MM RAD",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202075,"TIE,INSUL,PREF TOP,QUAIL,ARM,73MM THR",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202076,"TIE,INSUL,PREF TOP,QUAIL,73MM THR DIA",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202077,"TIE,INSUL,PREF TOP,MERLIN,73MM THR DIA",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202080,"CROSSARM,METAL,GS,L100X100X12X2400MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202081,"CHANNEL,FUSE CUTOUT,C125X65X65X6X2400MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202082,"CHANNEL,TFMR MTG,GS,150X75X75X6.5X2400MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202086,"BAND,POLE,100WDX12TH,166MMDIA A/F,HDGS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202087,"BAND,POLE,100WDX12TH,242MMDIA A/F,HDGS ",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202088,"BAND,POLE,100WDX12TH,210MMDIA A/F,HDGS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202089,"WIRE,BARBED,GCSTL,2.5+/-0.1MM STR DIA",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202090,"CLIP,BARBED WIRE,SSTL",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202091,"CLAMP,STRAIN,AA,11.34MMDIA,36KN,3-BOLTS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202092,"CLAMP,STRAIN,AA,17.35MM,45KN,3-BOLTS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202093,"CLAMP,STRAIN,AA,11.34MMDIA,36KN,STRAIGHT",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202094,"CLAMP,STRAIN,AA,14.31MMDIA,45KN,STRAIGHT",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202096,"CLAMP,SUSP,AA,11.34 MM DIA,36KN UTS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202099,"BRACKET,DANGER SIGN MTG,GS,40X5X120MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202101,"CLAMP,TOP SERV MAST,GS,76X40X6X176/230MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202102,"CLAMP,SERV MAST,GS,76MMDIAX60MMWDX4MMTH",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202103,"CLAMP,THROUGH WALL,GS,76MMDIA,M16X254MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202104,"CONDUIT,PVC,70MM ODX1110MM LG,W/CPLG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202183,"CONNECTOR,PG,AL,MERLIN ACSR/AW,COMP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202184,"COVER,H-TAP,HI-DENSITY PLST,40X47X140MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202185,"CONNECTOR,PG,AL,MERLIN/AW,QUAIL/AW,COMP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202186,"LINK,EXTN,GS,CLEVIS-EYE,45KN,355MM LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202187,"CONNECTOR,PG,AL,QUAIL ACSR/AW,COMP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202188,"GRIP,GUY,PREF,GS,940MM LG,101 KN,RED",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202189,"CONNECTOR,GRNDG,C,CU,100-125SQMMCU",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202190,"GRIP,WEDGE,AA,50-120SQMM ACSR/AW",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202192,"GUARD,GRD WIRE,PVC,12.7MM DIAX2440MM LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202193,"GUARD,GUY,PVC-YELLOW,51MMWDX2440MMLG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202194,"HEAD,SERV ENT,AL,SLIP-ON W/2BLT,76MM OD",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202196,"CONNECTOR,PG,AL,120SQMM QPLX,COMP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202198,"BOLT,EYE,GS,16MM DIA,180MM LG,SHOULDER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202201,"CLAMP,SUSP,AA,14.31 MM DIA,45KN MIN UTS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202203,"ROD,ANCHOR,GS,24MM,2500MM,TWIN,ADJ",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202204,"PLATE,ANCHOR,GS,450X450X10MM,26MM HOLE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202205,"PLATE,ANCHOR,GS,450X450X6MM,18MM HOLE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202206,"ROD,ANCHOR,GS,16MM,2500MM,ADJUSTABLE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202207,"PLATE,ANCHOR,GS,450X450X10MM,22MM HOLE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202208,"WIRE,GUY,STL,9.8MM DIA,7/3.25MM,65KN,LH",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202209,"CONNECTOR,PG,AL,MERLIN/AW,3-BOLTS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202210,"CONNECTOR,PG,AL,120SQMM,50SQMM,COMP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202212,"CABLE,ARRESTER-EARTH,CU,35SQMMX500MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202213,"BAND, POLE, 100WDX12THMM, 190MMDIA A/F, HDGS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202214,"BAND, POLE, 100WDX12THMM, 234MMDIA A/F, HDGS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202215,"ROD, ANCHOR, GS, 19MM, 2500MM, ADJUSTABLE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202216,"ROD, ANCHOR, GS, 19MM, 2500MM, TWIN, ADJ",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202217,"BOLT, MACH, GS, 16MM DIA, 165MM LG, HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202218,"BOLT, MACH, GS, 16MM DIA, 300MM LG, HEX",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202220,"BOLT, EYE, GS, 16MM DIA, 155MM LG, SHOULDER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202221,"BOLT, EYE, GS, 16MM DIA, 235MM LG, SHOULDER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202224,"BOLT, EYE, GS, 16MM DIA, 285MM LG, SHOULDER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202225,"BOLT, EYE, GS, 16MM DIA, 310MM LG, SHOULDER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202226,"BOLT, EYE, GS, 20MM DIA, 260MM LG, SHOULDER",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202228,"BRACE, CROSSARM, GS, BOTH END CLIPPED",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202229,"PIPE, SERVICE DROP, GS, 70MMIDX76MMODX3MLG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202231,"CONDUIT,PVC,76MM ODX1000MM LG,W/CPLG NUT",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202232,"CONDUIT,PVC,75MM IDX4000MM LG,W/CPLG NUT",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202233,"CONDUIT,PVC,75MM IDX2000MM LG,W/CPLG NUT",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908202235,"CONNECTOR, PG, AL, 170SQMM, 67.4SQMM, 3-BOLTS",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908301003,"SWITCH, OHD, VERTICAL, 13.8KV, 3P, 400A, CRP 552MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908301007,"SWITCH, OHD, VERTICAL, 13.8KV, 3P, 600A, CRP 552MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908301009,"SWITCH, OHD, VERTICAL, 33KV, 3P, 400A, CRP 825MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908301015,"SWITCH, OHD, VERTICAL, 3P, 33KV, 600A, CRP 1320MM",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908312001,"PILLAR, DIST, LV, GLASS REINF, 400A",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908312002,"BASE, PILLAR DIST LV, GLASS REINF",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908312003,"PILLAR, DIST, LV, GLASS REINF, 400A, WITHOUT BASE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908327004,"SWGR,RMU,ODTR,NE,2LBS+1CB,33KV,3 P,60HZ",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908331004,"RECLOSER,33KV,560A,200KV BIL,1320MM CRP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908331008,"RECLOSER,13.8KV,560A,110KV BIL,552MM CRP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908332004,"SECTIONELIZER,33KV,400A,200KV BIL,1320MM CRP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908332008,"SECTIONELIZER,13.8KV,400A,110KV BIL,552MM CRP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908341002,"CUTOUT, FUSE, 200A, 13.8KV, 660MM CRP, BIL 95KV",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908341003,"CUTOUT, FUSE, 100A, 33KV, 825MM CRP, BIL 170KV",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908341101,"CUTOUT, FUSE, 100A, 13.8KV, 660MMCRP, , BIL 110KV",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908341104,"CUTOUT, FUSE, 100A, 33KV, 1320MM CRP, BIL 200KV",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342001,"LINK, FUSE, 15.2KV, 3A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342002,"LINK, FUSE, 15.2KV, 6A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342003,"LINK, FUSE, 15.2KV, 8A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342004,"LINK, FUSE, 15.2KV, 10A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342005,"LINK, FUSE, 15.2KV, 12A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342006,"LINK, FUSE, 15.2KV, 15A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342007,"LINK, FUSE, 15.2KV, 20A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342008,"LINK, FUSE, 15.2KV, 25A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342009,"LINK, FUSE, 15.2KV, 30A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342010,"LINK, FUSE, 15.2KV, 40A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342011,"LINK, FUSE, 15.2KV, 50A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342012,"LINK, FUSE, 15.2KV, 65A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342013,"LINK, FUSE, 15.2KV, 80A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342014,"LINK, FUSE, 15.2KV, 100A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342015,"LINK, FUSE, 15.2KV, 140A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342016,"LINK, FUSE, 15.2KV, 200A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342017,"LINK, FUSE, 36KV, 3A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342018,"LINK, FUSE, 36KV, 6A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342019,"LINK, FUSE, 36KV, 8A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342020,"LINK, FUSE, 36KV, 10A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908342021,"LINK, FUSE, 36KV, 12A, FAST",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
